id,name,model,area,year,doi,task,url
58,PolicyVis: Firewall Security Policy Visualization and Inspection,Matrix,Сетевая безопасность,2007,-,Управление правилами фаервола,https://static.usenix.org/event/lisa07/tech/full_papers/tran/tran.pdf
59,A visual analytics approach for the cyber forensics based on different views of the network traffic,Parallel coordinates;Chart;Scatter plot,Криминалистика,2018,10.22667/JOWUA.2018.06.30.057),Анализ исторических данных траффика,http://isyou.info/jowua/papers/jowua-v9n2-4.pdf
60,Change-link 2.0: A digital forensic tool for visualizing changes to shadow volume data,Matrix;Tree;Scatter plot,Криминалистика,2013,10.1145/2517957.2517960,Анализ логов|Анализ файловых систем,https://dl.acm.org/doi/abs/10.1145/2517957.2517960
61,Computer forensic timeline visualization tool,Chart,Криминалистика,2009,10.1016/j.diin.2009.06.008,Анализ логов,https://www.sciencedirect.com/science/article/pii/S1742287609000425
62,Visualizing information in digital forensics,Graph;Chart,Криминалистика,2012,10.1007/978-3-642-33962-2_3,Анализ связей между людьми|Анализ логов,https://link.springer.com/chapter/10.1007/978-3-642-33962-2_3
63,Behavioural & tempo-spatial knowledge graph for crime matching through graph theory,Tree,Криминалистика,2017,10.1109/EISIC.2017.29,Анализ связей между людьми,https://ieeexplore.ieee.org/abstract/document/8240783
64,A term distribution visualization approach to digital forensic string search,Chart,Криминалистика,2008,10.1007/978-3-540-85933-8_4,Анализ логов,https://link.springer.com/chapter/10.1007/978-3-540-85933-8_4
67,Alertwheel: Radial bipartite graph visualization applied to intrusion detection system alerts,Graph,Сетевая безопасность,2012,10.1109/MNET.2012.6375888,Анализ и мониторинг инцидентов в IDS,https://ieeexplore.ieee.org/abstract/document/6375888
68,Hierarchical Visualization of Network Intrusion Detection Data in the IP Address Space,TreeMaps;Graph,Сетевая безопасность,2006,10.1109/MCG.2006.34,Анализ и мониторинг инцидентов в IDS,https://ieeexplore.ieee.org/abstract/document/1607920
69,SnortView: Visualization system of snort logs,Matrix,Сетевая безопасность,2004,10.1145/1029208.1029232,Анализ и мониторинг инцидентов в IDS,https://dl.acm.org/doi/abs/10.1145/1029208.1029232
70,A visualization paradigm for network intrusion detection,Chord Diagram,Сетевая безопасность,2005,10.1109/IAW.2005.1495939,Анализ и мониторинг инцидентов в IDS,https://ieeexplore.ieee.org/abstract/document/1495939
71,Exploring three-dimensional visualization for intrusion detection,Parallel coordinates;Scatter plot;Chart,Сетевая безопасность,2005,10.1109/VIZSEC.2005.1532073,Анализ и мониторинг инцидентов в IDS,https://ieeexplore.ieee.org/abstract/document/1532073
72,A Novel Radial Visualization of Intrusion Detection Alerts,Chord Diagram;Scatter plot,Сетевая безопасность,2018,10.1109/MCG.2018.2879067,Анализ и мониторинг инцидентов в IDS,https://ieeexplore.ieee.org/abstract/document/8617765
73,Network-wide intrusion detection supported by multivariate analysis and interactive visualization,Parallel coordinates,Сетевая безопасность,2017,10.1109/VIZSEC.2017.8062198,Анализ и мониторинг инцидентов в IDS,https://ieeexplore.ieee.org/abstract/document/8062198
74,A pyramidal-based model to compute the impact of cyber security events,Chart,Анализ рисков,2018,10.1145/3230833.3230847,Выработка контрмер,https://dl.acm.org/doi/abs/10.1145/3230833.3230847
75,Choosing Models for Security Metrics Visualization,Chart;Graph;Matrix,Анализ рисков,2017,10.1007/978-3-319-65127-9_7,Анализ активов|Выработка контрмер,https://link.springer.com/chapter/10.1007/978-3-319-65127-9_7
76,Selection of countermeasures against network attacks based on dynamical calculation of security metrics,Graph,Анализ рисков,2018,10.1177/1548512917690278,Анализ активов,https://journals.sagepub.com/doi/abs/10.1177/1548512917690278
77,Selection of Pareto-efficient response plans based on financial and operational assessments,Graph;Chart;Scatter plot,Анализ рисков,2017,10.1186/s13635-017-0063-6,Анализ активов|Выработка контрмер,https://link.springer.com/article/10.1186/s13635-017-0063-6
78,Security Risk Analysis of Enterprise Networks Using Probabilistic Attack Graphs,Graph,Анализ рисков,2017,10.1007/978-3-319-66505-4_3,Анализ активов,https://link.springer.com/chapter/10.1007/978-3-319-66505-4_3
79,Partisanship Propaganda and Disinformation: Online Media and 2016 U.S. Presidential election,Chart;Graph;Scatter plot,Социальные сети,2017,-,Анализ социальных связей,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3019414
80,Disinformation and social bot operations in the run up to the 2017 french presidential election,Chart;Matrix,Социальные сети,2017,-,Анализ социальных связей|Анализ метрик пользователей,https://arxiv.org/abs/1707.00086
81,Junk News on Military Affairs and National Security: Social Media Disinformation Campaigns Against US Military Personnel and Veterans,Chart;Scatter plot,Социальные сети,2018,-,Анализ социальных связей,https://arxiv.org/abs/1802.03572
82,Investigating Italian disinformation spreading on Twitter in the context of 2019 European elections,Chart;Word cloud;Graph,Социальные сети,2020,10.1371/journal.pone.0227821,Анализ социальных связей|Анализ метрик пользователей|Анализ текстового контента,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0227821
83,The technique of structuring social network graphs for visual analysis of user groups to counter inappropriate dubious and harmful information,Graph,Социальные сети,2018,-,Анализ социальных связей,https://pdfs.semanticscholar.org/a652/f362ac7bdaa3cb1a0adafbaec3685b5dae1e.pdf
84,FakeNewsTracker: a tool for fake news collection detection and visualization,Geographical maps;Graph;Word cloud;Chart,Социальные сети,2019,10.1007/s10588-018-09280-3,Анализ метрик пользователей|Анализ текстового контента,https://link.springer.com/article/10.1007/s10588-018-09280-3
85,Appliance of Social Network Analysis and Data Visualization Techniques in Analysis of Information Propagation,Graph,Социальные сети,2019,10.1007/978-3-030-14802-7_11,Анализ социальных связей,https://link.springer.com/chapter/10.1007/978-3-030-14802-7_11
86,Visual analysis of CAN bus traffic injection using radial bar charts,Chart,Сетевая безопасность,2018,10.1109/ICPHYS.2018.8390816,Анализ и мониторинг инцидентов в IDS,https://ieeexplore.ieee.org/abstract/document/8390816
87,Visual reverse engineering of binary and data files,Matrix,Вирусология,2008,10.1007/978-3-540-85933-8_1,Бинарное представление зловреда,https://link.springer.com/chapter/10.1007/978-3-540-85933-8_1
88,Visualization techniques for efficient malware detection,Matrix,Вирусология,20013,10.1109/ISI.2013.6578845,Бинарное представление зловреда,https://ieeexplore.ieee.org/abstract/document/6578845
89,Malware images: Visualization and automatic classification,Matrix;Scatter plot,Вирусология,2011,10.1145/2016904.2016908,Бинарное представление зловреда|Анализ метрик вредоносного ПО,https://dl.acm.org/doi/abs/10.1145/2016904.2016908
90,MalwareVis: Entity-based visualization of malware network traces,Chart,Вирусология,2012,10.1145/2379690.2379696,Анализ поведения вредоносного ПО,https://dl.acm.org/doi/abs/10.1145/2379690.2379696
91,Visualization of shared system call sequence relationships in large malware corpora,Matrix,Вирусология,2012,10.1145/2379690.2379695,Анализ метрик вредоносного ПО,https://dl.acm.org/doi/abs/10.1145/2379690.2379695
92,SEEM: A scalable visualization for comparing multiple large sets of attributes for malware analysis,Chart,Вирусология,2014,10.1145/2671491.2671496,Анализ метрик вредоносного ПО,https://dl.acm.org/doi/abs/10.1145/2671491.2671496
93,Malware behavior image for malware variant identification,Chart,Вирусология,2014,10.1109/ISBAST.2014.7013128,Анализ поведения вредоносного ПО,https://ieeexplore.ieee.org/abstract/document/7013128
94,Visual analytics for detecting anomalous activity in mobile money transfer services,Graph,Криминалистика,2014,10.1007/978-3-319-10975-6_5,Анализ транзакций,https://link.springer.com/chapter/10.1007/978-3-319-10975-6_5
1,J-Viz: Finding algorithmic complexity attacks via graph visualization of Java bytecode,Graph,Вирусология,2016,10.1109/vizsec.2016.7739575,Анализ графа вызова функций,https://ieeexplore.ieee.org/document/7739575
2,ROPMate: Visually Assisting the Creation of ROP-based Exploits,Tree;Scatter plot,Вирусология,2018,10.1109/VIZSEC.2018.8709204,Анализ графа вызова функций|Анализ метрик вредоносного ПО,https://ieeexplore.ieee.org/document/8709204
3,The goods the bads and the uglies: Supporting decisions in malware detection through visual analytics,Geographical maps;HeatMap;Scatter plot,Сетевая безопасность,2017,10.1109/vizsec.2017.8062199,Анализ географии атак|Анализ файлов,https://ieeexplore.ieee.org/document/8062199
4,CRUMBS: A cyber security framework browser,TreeMaps,Контроль доступа,2017,10.1109/vizsec.2017.8062194,Анализ политик (иерархические),https://ieeexplore.ieee.org/document/8062194/
5,PERCIVAL: proactive and reactive attack and response assessment for cyber incidents using visual analytics,Graph,Сетевая безопасность,2015,10.1109/vizsec.2015.7312764,Анализ и мониторинг инцидентов в IDS,https://ieeexplore.ieee.org/document/7312764/
6,Uncovering periodic network signals of cyber attacks,Chart,Сетевая безопасность,2016,10.1109/vizsec.2016.7739581,Анализ трафика сети,https://ieeexplore.ieee.org/document/7739581
7,Crush Your Data with ViC 2 ES Then CHISSL Away,Matrix,Предотвращение утечек,2018,10.1109/VIZSEC.2018.8709212,Анализ активности сотрудника,https://ieeexplore.ieee.org/document/8709212
8,Ocelot: user-centered design of a decision support visualization for network quarantine,Tree;Parallel coordinates,Сетевая безопасность,2015,10.1109/vizsec.2015.7312763,Анализ и мониторинг инцидентов в IDS,https://ieeexplore.ieee.org/document/7312763
9,CyberPetri at CDX 2016: Real-time network situation awareness,Tree,Сетевая безопасность,2016,10.1109/vizsec.2016.7739584,Анализ и мониторинг инцидентов в IDS,https://ieeexplore.ieee.org/document/7739584
10,Cesar: Visual representation of source code vulnerabilities,TreeMaps,Вирусология,2016,10.1109/vizsec.2016.7739576,Анализ уязвимостей,https://ieeexplore.ieee.org/abstract/document/7739576/footnotes
11,Visualization of actionable knowledge to mitigate DRDoS attacks,Chart,Сетевая безопасность,2016,10.1109/vizsec.2016.7739577,Анализ трафика сети,https://ieeexplore.ieee.org/abstract/document/7739577/
12,Looking for a black cat in a dark room: Security visualization for cyber-physical system design and analysis,Graph,Анализ рисков,2018,10.1109/VIZSEC.2018.8709187,Анализ активов,https://ieeexplore.ieee.org/document/8709187
13,Bitconeview: visualization of flows in the bitcoin transaction graph,Chart,Криминалистика,2015,10.1109/vizsec.2015.7312773,Анализ транзакций,https://ieeexplore.ieee.org/document/7312773
15,SNAPS: Semantic network traffic analysis through projection and selection,Streamgraph,Сетевая безопасность,2015,10.1109/vizsec.2015.7312768,Анализ трафика сети,https://ieeexplore.ieee.org/document/7312768
16,Understanding the context of network traffic alerts,Matrix;Graph;Chart;HeatMap,Сетевая безопасность,2016,10.1109/vizsec.2016.7739579,Анализ и мониторинг инцидентов в IDS|Анализ географии атак|Анализ доменов,https://ieeexplore.ieee.org/document/7739579
17,Eventpad: Rapid malware analysis and reverse engineering using visual analytics,Matrix;Streamgraph,Вирусология,2018,10.1109/VIZSEC.2018.8709230,Анализ поведения вредоносного ПО,https://ieeexplore.ieee.org/document/8709230
18,User behavior map: Visual exploration for cyber security session data,Geographical maps;HeatMap;Parallel coordinates,Сетевая безопасность,2018,10.1109/VIZSEC.2018.8709223,Анализ географии атак,https://ieeexplore.ieee.org/document/8709223
19,An empirical study on perceptually masking privacy in graph visualizations,Graph,Социальные сети,2018,10.1109/VIZSEC.2018.8709181,Анализ социальных связей,https://ieeexplore.ieee.org/document/8709181
20,Toward a visualization-supported workflow for cyber alert management using threat models and human-centered design,Scatter plot,Сетевая безопасность,2017,10.1109/vizsec.2017.8062200,Анализ файлов,https://ieeexplore.ieee.org/document/8062200
22,V3SPA: A visual analysis exploration and diffing tool for SELinux and SEAndroid security policies,Graph;Matrix,Контроль доступа,2016,10.1109/vizsec.2016.7739580,Анализ политик (дискреционные),https://ieeexplore.ieee.org/document/7739580
23,Contextual network navigation to provide situational awareness for network administrators,Tree,Сетевая безопасность,2015,10.1109/vizsec.2015.7312769,Анализ и мониторинг инцидентов в IDS,https://ieeexplore.ieee.org/document/7312769
24,Ensemble visualization for cyber situation awareness of network security data,Matrix;Tree;Chart,Сетевая безопасность,2015,10.1109/vizsec.2015.7312766,Анализ и мониторинг инцидентов в IDS|Анализ трафика сети,https://ieeexplore.ieee.org/abstract/document/7312766
25,Firewall ruleset visualization analysis tool based on segmentation,Matrix,Контроль доступа,2017,10.1109/vizsec.2017.8062196,Анализ политик (дискреционные),https://ieeexplore.ieee.org/document/8062196
26,Visual Analytics for Root DNS Data,Streamgraph;Scatter plot,Сетевая безопасность,2018,10.1109/VIZSEC.2018.8709205,Анализ трафика сети,https://ieeexplore.ieee.org/document/8709205
27,Visualizing the insider threat: challenges and tools for identifying malicious user activity,Tree;Streamgraph;Chart;Matrix;Scatter plot;Parallel coordinates,Предотвращение утечек,2015,10.1109/vizsec.2015.7312772,Анализ активности сотрудника,https://ieeexplore.ieee.org/document/7312772
28,STARLORD: Linked security data exploration in a 3D graph,Graph,Сетевая безопасность,2017,10.1109/vizsec.2017.8062203,Анализ и мониторинг инцидентов в IDS,https://ieeexplore.ieee.org/document/8062203
31,Visualizing a Malware Distribution Network,Graph,Вирусология,2016,10.1109/vizsec.2016.7739585,Анализ поведения вредоносного ПО,https://ieeexplore.ieee.org/document/7739585
32,Visually guided flow tracking in software-defined networking,Tree;Parallel coordinates;Scatter plot,Сетевая безопасность,2016,10.1109/vizsec.2016.7739586,Анализ и мониторинг инцидентов в IDS|Анализ трафика сети,https://ieeexplore.ieee.org/document/7739586
33,Towards designing effective visualizations for DNS-based network threat analysis,Scatter plot,Сетевая безопасность,2017,10.1109/vizsec.2017.8062201,Анализ доменов,https://ieeexplore.ieee.org/document/8062201
34,Interactive visualization toolbox to detect sophisticated android malware,Graph,Вирусология,2017,10.1109/vizsec.2017.8062197,Анализ графа вызова функций,https://ieeexplore.ieee.org/document/8062197
36,Detecting malicious logins in enterprise networks using visualization,Graph,Сетевая безопасность,2016,10.1109/vizsec.2016.7739582,Анализ и мониторинг инцидентов в IDS,https://ieeexplore.ieee.org/document/7739582
37,Building a Machine Learning Model for the SOC by the Input from the SOC and Analyzing it for the SOC,Chart;Scatter plot;TreeMaps;Matrix,Анализ рисков,2018,10.1109/VIZSEC.2018.8709231,Ситуационная осведомленность,https://ieeexplore.ieee.org/document/8709231
38,Bigfoot: A geo-based visualization methodology for detecting BGP threats,Geographical maps,Криминалистика,2016,10.1109/vizsec.2016.7739583,Анализ логов,https://ieeexplore.ieee.org/document/7739583/
40,Visual-Interactive Identification of Anomalous IP-Block Behavior Using Geo-IP Data,Geographical maps;Chart,Сетевая безопасность,2018,10.1109/VIZSEC.2018.8709182,Анализ географии атак|Анализ трафика сети,https://ieeexplore.ieee.org/document/8709182
42,Discovery of rating fraud with real-time streaming visual analytics,Matrix;Graph,Сетевая безопасность,2015,10.1109/vizsec.2015.7312770,Обнаружение мошенничества,https://ieeexplore.ieee.org/document/7312770
43,TAPESTRY: Visualizing Interwoven Identities for Trust Provenance,HeatMap;Chart,Сетевая безопасность,2018,10.1109/VIZSEC.2018.8709236,Анализ и мониторинг инцидентов в IDS,https://ieeexplore.ieee.org/document/8709236
44,Visual analytics for cyber red teaming,Graph;Tree;Parallel coordinates,Сетевая безопасность,2015,10.1109/vizsec.2015.7312765,Анализ и мониторинг инцидентов в IDS,https://ieeexplore.ieee.org/document/7312765
